code,province_code,name,latitude,longitude,population
31074,31,Cirauqui,42.66019,-1.89922,473
31075,31,Ciriza,42.791698,-1.82513,170
31076,31,Cizur,42.759242,-1.732449,3949
31077,31,Corella,42.113,-1.792309,8756
31078,31,Cortes,41.938536,-1.444519,3165
31079,31,Desojo,42.587581,-2.267143,68
31080,31,Dicastillo,42.562393,-2.040906,562
31081,31,Donamaria,43.090257,-1.663113,446
31082,31,Etxalar,43.233595,-1.618162,807
31083,31,Echarri,42.780641,-1.827915,78
31084,31,"Etxarri Aranatz",42.922236,-2.079452,2551
31085,31,Etxauri,42.800661,-1.80915,671
31086,31,"Valle de Egüés",42.823223,-1.548577,22825
31087,31,Elgorriaga,43.137974,-1.690914,210
31088,31,"Noáin (Valle de Elorz)",42.727605,-1.590558,8486
31089,31,Enériz,42.664513,-1.744012,328
31090,31,Eratsun,43.105426,-1.804313,155
31091,31,Ergoiena,42.897765,-2.023346,392
31092,31,Erro,42.972,-1.42802,812
31093,31,Ezcároz,42.895571,-1.066784,298
31094,31,Eslava,42.567311,-1.460689,97
31095,31,"Esparza de Salazar",42.859006,-1.091281,75
31096,31,Espronceda,42.596718,-2.302142,102
31097,31,Estella-Lizarra,42.666635,-2.027038,14317
31098,31,Esteribar,42.946101,-1.52719,2918
31099,31,Etayo,42.61224,-2.173284,72
31100,31,Eulate,42.768643,-2.20739,278
31101,31,Ezcabarte,42.869337,-1.634099,1901
31102,31,Ezkurra,43.099432,-1.83852,125
31103,31,Ezprogui,42.608826,-1.455949,48
31104,31,Falces,42.419766,-1.810001,2389
31105,31,Fitero,42.044136,-1.863856,2370
31106,31,Fontellas,42.009187,-1.56905,1050
31107,31,Funes,42.290077,-1.806186,2537
31108,31,Fustiñana,42.034515,-1.443145,2445
31109,31,Galar,42.747512,-1.670763,2427
31110,31,Gallipienzo,42.49816,-1.417354,100
31111,31,Gallués,42.792571,-1.102207,91
31112,31,Garaioa,42.918874,-1.247441,92
31113,31,Garde,42.782359,-0.896918,132
31114,31,Garínoain,42.594352,-1.664873,527
31115,31,Garralda,42.955512,-1.304602,183
31116,31,Genevilla,42.648854,-2.39918,69
31117,31,Goizueta,43.189279,-1.829472,681
31118,31,Goñi,42.83098,-1.896193,166
31119,31,Güesa,42.818831,-1.065938,36
31120,31,Guesálaz,42.763784,-1.922282,462
31121,31,Guirguillano,42.720705,-1.864466,75
31122,31,Huarte,42.829047,-1.59304,7900
31123,31,"Uharte Arakil",42.926858,-1.961302,770
31124,31,Ibargoiti,42.674301,-1.457484,279
31125,31,Igúzquiza,42.643397,-2.089287,307
31126,31,Imotz,42.955742,-1.794221,433
31127,31,Irañeta,42.912896,-1.936838,172
31128,31,Isaba,42.90407,-0.854986,384
31129,31,Ituren,43.135663,-1.720616,543
31130,31,Iturmendi,42.905183,-2.125208,428
31131,31,Iza,42.885468,-1.773469,1459
31132,31,Izagaondoa,42.729839,-1.418651,153
31133,31,Izalzu,42.928302,-1.036717,36
31134,31,Jaurrieta,42.89941,-1.151194,179
31135,31,Javier,42.504118,-1.289839,106
31136,31,Juslapeña,42.903295,-1.706583,562
31137,31,Beintza-Labaien,43.098336,-1.756296,228
31138,31,Lakuntza,42.934169,-2.017307,1338
31139,31,Lana,42.713615,-2.253785,149
31140,31,Lantz,43.009287,-1.609616,150
31141,31,Lapoblación,42.600352,-2.460611,123
31142,31,Larraga,42.548977,-1.864891,2158
31143,31,Larraona,42.775725,-2.25836,100
31144,31,Larraun,43.000247,-1.906333,918
31145,31,Lazagurría,42.491248,-2.23096,170
31146,31,Leache,42.615047,-1.412725,38
31147,31,Legarda,42.718524,-1.777522,143
31148,31,Legaria,42.642998,-2.180337,111
31149,31,Leitza,43.103021,-1.893073,3011
31150,31,Leoz,42.599739,-1.559781,202
31151,31,Lerga,42.562569,-1.499485,44
31152,31,Lerín,42.478582,-1.959718,1821
31153,31,Lesaka,43.258684,-1.737992,2721
31154,31,Lezaun,42.793436,-2.007427,248
31155,31,Liédena,42.614791,-1.261197,354
31156,31,Lizoain-Arriasgoiti,42.830314,-1.467334,287
31157,31,Lodosa,42.404338,-2.075743,4964
31158,31,Lónguida,42.781778,-1.358632,308
31159,31,Lumbier,42.647931,-1.289967,1330
31160,31,Luquin,42.570655,-2.131811,135
31161,31,Mañeru,42.654831,-1.858016,452
31162,31,Marañón,42.623352,-2.444904,50
31163,31,Marcilla,42.341938,-1.722189,2938
31164,31,Mélida,42.346254,-1.528784,739
31165,31,Mendavia,42.452556,-2.196205,3588
31166,31,Mendaza,42.654241,-2.247774,284
31167,31,Mendigorria,42.61186,-1.84086,1261
31168,31,Metauten,42.682077,-2.120343,263
31169,31,Milagro,42.236009,-1.765467,3741
31170,31,Mirafuentes,42.621309,-2.280978,56
31171,31,"Miranda de Arga",42.482311,-1.830049,903
31172,31,Monreal,42.704605,-1.5267,511
31173,31,Monteagudo,41.96763,-1.7048,1073
31174,31,Morentin,42.598042,-1.996133,110
31175,31,Mues,42.598628,-2.234058,80
31176,31,Murchante,42.044165,-1.669397,4230
31177,31,Murieta,42.66106,-2.150848,345
31178,31,"Murillo el Cuende",42.343919,-1.599556,701
31179,31,"Murillo el Fruto",42.399682,-1.470625,665
31180,31,Muruzábal,42.688664,-1.762052,283
31181,31,Navascués,42.729289,-1.115905,114
31182,31,Nazar,42.6408,-2.287343,40
31183,31,Obanos,42.661631,-1.785409,924
31184,31,Oco,42.638331,-2.16291,65
31185,31,Ochagavía,42.958538,-1.075828,492
31186,31,Odieta,42.932041,-1.646427,367
31187,31,Oiz,43.090698,-1.691881,129
31188,31,Olaibar,42.896433,-1.603064,399
31189,31,Olazti,42.887756,-2.201587,1444
31190,31,Olejua,42.624361,-2.139891,49
31191,31,Olite,42.445254,-1.674886,4069
31192,31,Olóriz,42.642479,-1.599593,210
31193,31,"Cendea de Olza",42.820758,-1.76582,1874
31194,31,"Valle de Ollo",42.860405,-1.851468,453
31195,31,Orbaizeta,43.007494,-1.214006,186
31196,31,Orbara,42.973809,-1.252295,28
31197,31,Orísoain,42.598933,-1.594803,72
31198,31,Oronz,42.875404,-1.073427,51
31199,31,Oroz-Betelu,42.906572,-1.304526,143
31200,31,Oteiza,42.580016,-1.944719,972
31201,31,Pamplona,42.814941,-1.651368,209094
31202,31,Peralta,42.35648,-1.802453,6071
31203,31,"Petilla de Aragón",42.446471,-1.111599,29
31204,31,Piedramillera,42.620942,-2.210248,46
31205,31,Pitillas,42.424977,-1.582926,520
31206,31,"Puente la Reina",42.695322,-1.816863,2972
31207,31,Pueyo,42.56723,-1.658147,384
31208,31,Ribaforada,41.981114,-1.520894,3697
31209,31,Romanzado,42.684335,-1.195133,180
31210,31,Roncal,42.805933,-0.953848,206
31211,31,Orreaga,43.014254,-1.308125,25
31212,31,Sada,42.573158,-1.394107,130
31213,31,Saldías,43.087269,-1.776352,125
31214,31,"Salinas de Oro",42.778544,-1.881383,110
31215,31,"San Adrián",42.345192,-1.919353,6504
31216,31,Sangüesa,42.569175,-1.271604,4883
31217,31,"San Martín de Unx",42.517939,-1.573867,352
31219,31,Sansol,42.538446,-2.253144,89
31220,31,Santacara,42.389475,-1.549554,874
31221,31,Doneztebe,43.1351,-1.670057,1854
31222,31,Sarriés,42.84044,-1.103767,57
